1; experiment investig of the aerodynam of a wing in a slipstream an experiment studi of a wing in a propel slipstream wa made in order to determin the spanwis distribut of the lift increas due to slipstream at differ angl of attack of the wing and at differ free stream to slipstream veloc ratio the result were intend in part as an evalu basi for differ theoret treatment of thi problem the compar span load curv togeth with support evid show that a substanti part of the lift increment produc by the slipstream wa due to a /destalling/ or boundari layer control effect the integr remain lift increment after subtract thi destal lift wa found to agre well with a potenti flow theori an empir evalu of the destal effect wa made for the specif configur of the experi; experimental investigation of the aerodynamics of a wing in a slipstream   an experimental study of a wing in a propeller slipstream was made in order to determine the spanwise distribution of the lift increase due to slipstream at different angles of attack of the wing and at different free stream to slipstream velocity ratios    the results were intended in part as an evaluation basis for different theoretical treatments of this problem   the comparative span loading curves  together with supporting evidence  showed that a substantial part of the lift increment produced by the slipstream was due to a /destalling/ or boundary layer control effect    the integrated remaining lift increment  after subtracting this destalling lift  was found to agree well with a potential flow theory   an empirical evaluation of the destalling effects was made for the specific configuration of the experiment  
2; simpl shear flow past a flat plate in an incompress fluid of small viscos in the studi of high speed viscou flow past a two dimension bodi it is usual necessari to consid a curv shock wave emit from the nose or lead edg of the bodi consequ there exist an inviscid rotat flow region between the shock wave and the boundari layer such a situat aris for instanc in the studi of the hyperson viscou flow past a flat plate the situat is somewhat differ from prandtl s classic boundari layer problem in prandtl s origin problem the inviscid free stream outsid the boundari layer is irrot while in a hyperson boundari layer problem the inviscid free stream must be consid as rotat the possibl effect of vortic have been recent discuss by ferri and libbi in the present paper the simpl shear flow past a flat plate in a fluid of small viscos is investig it can be shown that thi problem can again be treat by the boundari layer approxim the onli novel featur be that the free stream ha a constant vortic the discuss here is restrict to two dimension incompress steadi flow; simple shear flow past a flat plate in an incompressible fluid of small viscosity   in the study of high speed viscous flow past a two dimensional body it is usually necessary to consider a curved shock wave emitting from the nose or leading edge of the body    consequently  there exists an inviscid rotational flow region between the shock wave and the boundary layer    such a situation arises  for instance  in the study of the hypersonic viscous flow past a flat plate    the situation is somewhat different from prandtl s classical boundary layer problem   in prandtl s original problem the inviscid free stream outside the boundary layer is irrotational while in a hypersonic boundary layer problem the inviscid free stream must be considered as rotational    the possible effects of vorticity have been recently discussed by ferri and libby    in the present paper  the simple shear flow past a flat plate in a fluid of small viscosity is investigated    it can be shown that this problem can again be treated by the boundary layer approximation  the only novel feature being that the free stream has a constant vorticity    the discussion here is restricted to two dimensional incompressible steady flow  
3; the boundari layer in simpl shear flow past a flat plate the boundari layer equat ar present for steadi incompress flow with no pressur gradient; the boundary layer in simple shear flow past a flat plate   the boundary layer equations are presented for steady incompressible flow with no pressure gradient  
4; approxim solut of the incompress laminar boundari layer equat for a plate in shear flow the two dimension steadi boundari layer problem for a flat plate in a shear flow of incompress fluid is consid solut for the boundari layer thick skin friction and the veloc distribut in the boundari layer ar obtain by the karman pohlhausen techniqu comparison with the boundari layer of a uniform flow ha also been made to show the effect of vortic; approximate solutions of the incompressible laminar boundary layer equations for a plate in shear flow   the two dimensional steady boundary layer problem for a flat plate in a shear flow of incompressible fluid is considered   solutions for the boundary  layer thickness  skin friction  and the velocity distribution in the boundary layer are obtained by the karman pohlhausen technique    comparison with the boundary layer of a uniform flow has also been made to show the effect of vorticity  
5; on dimension transient heat conduct into a doubl layer slab subject to a linear heat input for a small time intern analyt solut ar present for the transient heat conduct in composit slab expos at on surfac to a triangular heat rate thi type of heat rate mai occur for exampl dure aerodynam heat; one dimensional transient heat conduction into a double layer slab subjected to a linear heat input for a small time internal   analytic solutions are presented for the transient heat conduction in composite slabs exposed at one surface to a triangular heat rate    this type of heating rate may occur  for example  during aerodynamic heating  
6; on dimension transient heat flow in a multilay slab in a recent contribut to the reader forum wassermann gave analyt solut for the temperatur in a doubl layer slab with a triangular heat rate input at on face insul at the other and with no thermal resist at the interfac hi solut were for the three particular case i propos here to give the gener solut to thi problem to indic briefli how it is obtain us the method of refer 2 and to point out that the solut given by wassermann ar incomplet for time longer than the durat of the heat input; one dimensional transient heat flow in a multilayer slab   in a recent contribution to the readers  forum wassermann gave analytic solutions for the temperature in a double layer slab  with a triangular heat rate input at one face  insulated at the other  and with no thermal resistance at the interface    his solutions were for the three particular cases   i propose here to give the general solution to this problem  to indicate briefly how it is obtained using the method of reference 2  and to point out that the solutions given by wassermann are incomplete for times longer than the duration of the heat input  
7; the effect of control three dimension rough on boundari layer transit at superson speed experi were perform in the 12 in superson wind tunnel of the jet propuls laboratori of the california institut of technolog to investig the effect of three dimension rough element sphere on boundari layer transit on a tain at local mach number of 1 90 2 71 and 3 67 by vari trip size posit space and reynold number per inch the result indic that 1 transit from laminar to turbul flow induc by three dimension rough element begin when the doubl row of spiral vortic trail each element contamin and break down the surround field of vortic 2 transit appear rather suddenli becom more violent with increas rough height rel to the boundari layer thick 3 after the breakdown of the vortic field the strength of the spiral vortic mai still persist in the sublay of the ensu turbul flow 4 later space of rough element ha littl effect upon the initi breakdown contamin of the laminar flow and 5 the trip reynold number where u and v ar the veloc and kinemat viscos at the outer edg of the boundari layer and k is rough height such that transit occur at the rough posit vari as the posit reynold number to the on fourth power viz where x is trip posit; the effect of controlled three dimensional roughness on boundary layer transition at supersonic speeds   experiments were performed in the 12 in  supersonic wind tunnel of the jet propulsion laboratory of the california institute of technology to investigate the effect of three dimensional roughness elements  spheres  on boundary layer transition on a tained at local mach numbers of 1 90  2 71  and 3 67 by varying trip size  position  spacing  and reynolds number per inch   the results indicate that  1  transition from laminar to turbulent flow induced by three dimensional roughness elements begins when the double row of spiral vortices trailing each element contaminates and breaks down the surrounding field of vorticity   2  transition appears rather suddenly  becoming more violent with increasing roughness height relative to the boundary layer thickness   3  after the breakdown of the vorticity field  the strength of the spiral vortices may still persist in the sublayer of the ensuing turbulent flow   4  lateral spacing of roughness elements has little effect upon the initial breakdown  contamination  of the laminar flow  and  5  the trip reynolds number where u and v are the velocity and kinematic viscosity at the outer edge of the boundary layer and k is roughness height  such that transition occurs at the roughness position  varies as the position reynolds number to the one fourth power  viz   where x is trip position  
8; measur of the effect of two dimension and three dimension rough element on boundari layer transit in hi studi of the effect of rough on transit h l dryden found on the basi of avail data that the effect of a two dimension rough element such as a /trip wire/ could be repres reason well in term of a function relat between and where is the reynold number of transit base on distanc from the lead edg is the height of the rough element and is the boundari layer displac thick at the posit of the element at hi suggest some addit data were obtain primarili to extend the rang to higher valu of dure the cours of an investig of transit on a flat plate conduct at the nation bureau of standard after the result on the two dimension rough element were obtain it appear to be desir to see whether a row of three dimension rough element would behav in the same wai; measurements of the effect of two dimensional and three dimensional roughness elements on boundary layer transition   in his study of the effect of roughness on transition  h  l  dryden found  on the basis of available data  that the effect of a two dimensional roughness element such as a /trip wire/ could be represented reasonably well in terms of a functional relation between and  where is the reynolds number of transition based on distance from the leading edge  is the height of the roughness element  and is the boundary layer displacement thickness at the position of the element    at his suggestion some additional data were obtained  primarily to extend the range to higher values of  during the course of an investigation of transition on a flat plate conducted at the national bureau of standards    after the results on the two  dimensional roughness elements were obtained  it appeared to be desirable to see whether a row of three dimensional roughness elements would behave in the same way  
9; transit studi and skin friction measur on an insul flat plate at a mach number of 5 8 an investig of transit and skin friction on an insul flat plate 5 by 26 in wa made in the galcit 5 by 5 in hyperson wind tunnel at a nomin mach number of 5 8 the phosphoresc lacquer techniqu wa us for transit detect and wa found to be in good agreement with total head rake measur along the plate surfac and pitot boundari layer survei it wa found that the boundari layer wa laminar at reynold number of at least 5 x 10 transvers contamin caus by the turbul boundari layer on the tunnel sidewal origin far downstream of the flat plate lead edg at reynold number of 1 5 to 2 x 10 and spread at a uniform angl of 5 compar to 9 degre in low speed flow the effect of two dimension and local disturb wa investig the techniqu of air inject into the boundari layer as a mean of hasten transit wa extens us although the onset of transit occur at reynold number as low as 10 a fulli develop turbul boundari layer wa not obtain at reynold number much below 2 x 10 regardless of the amount of air inject a qualit discuss of these result is given with emphasi on the possibl of a greater stabil of the laminar boundari layer in hyperson flow than at lower speed direct skin friction measur were made by mean of the float element techniqu over a rang of reynold number verifi as be laminar over the complet rang with air inject turbul shear wa obtain onli for reynold number greater than 2 x 10 thi valu be in good agreement with earlier result of thi investig the turbul skin friction coeffici wa found to be approxim 0 40 of that for incompress flow for a constant valu of r and 0 46 for an effect reynold number between 5 and 6 x 10; transition studies and skin friction measurements on an insulated flat plate at a mach number of 5 8   an investigation of transition and skin friction on an insulated flat plate  5 by 26 in   was made in the galcit 5 by 5 in  hypersonic wind tunnel at a nominal mach number of 5 8   the phosphorescent lacquer technique was used for transition detection and was found to be in good agreement with total head rake measurements along the plate surface and pitot boundary  layer surveys    it was found that the boundary layer was laminar at reynolds numbers of at least 5 x 10    transverse contamination caused by the turbulent boundary layer on the tunnel sidewall originated far downstream of the flat plate leading edge at reynolds numbers of 1 5 to 2 x 10  and spread at a uniform angle of 5 compared to 9 degree in low speed flow   the effect of two dimensional and local disturbances was investigated    the technique of air injection into the boundary layer as a means of hastening transition was extensively used   although the onset of transition occurred at reynolds numbers as low as 10  a fully developed turbulent boundary layer was not obtained at reynolds numbers much below 2 x 10 regardless of the amount of air injected   a qualitative discussion of these results is given with emphasis on the possibility of a greater stability of the laminar boundary layer in hypersonic flow than at lower speeds   direct skin friction measurements were made by means of the floating element technique  over a range of reynolds numbers verified as being laminar over the complete range    with air injection  turbulent shear was obtained only for reynolds numbers greater than 2 x 10  this value being in good agreement with earlier results of this investigation    the turbulent skin friction coefficient was found to be approximately 0 40 of that for incompressible flow for a constant value of r  and 0 46 for an effective reynolds number between 5 and 6 x 10  
10; the theori of the impact tube at low pressur a theoret analysi ha been made for an impact tube of the relat between free stream mach number and the impact and free stream pressur and densiti for extrem low pressur it is shown that the result differ appreci from the correspond continuum relat; the theory of the impact tube at low pressure   a theoretical analysis has been made for an impact tube of the relation between free stream mach number and the impact and free stream pressures and densities for extremely low pressures   it is shown that the results differ appreciably from the corresponding continuum relations  
